Date,Close/Last,Volume,Open,High,Low
12/14/2021,$181.98,8542798,$181.2,$183.9,$179.41
12/13/2021,$183.32,16346800,$186.85,$191.3,$183.11
12/10/2021,$183.88,6854798,$185.55,$185.55,$181.15
12/09/2021,$182.26,9398943,$181.77,$187.84,$181.51
12/08/2021,$182.63,4799371,$183.01,$183.72,$180.78
12/07/2021,$183.72,9910069,$179.07,$184.78,$178.5
12/06/2021,$175.45,8577475,$176.88,$176.9802,$172.27
12/03/2021,$176.51,12111800,$178.04,$180.27,$173.71
12/02/2021,$177.03,13101410,$172.09,$177.89,$171.21
12/01/2021,$175.63,10670610,$180.885,$183.15,$175.32
11/30/2021,$180.56,19309180,$183.22,$186.81,$180.34
11/29/2021,$183.74,10440510,$179.48,$184.07,$179
11/26/2021,$175.74,7835917,$175.665,$180.25,$175.06
11/24/2021,$180.71,7886158,$179.52,$180.78,$177.33
11/23/2021,$180.94,10698650,$180.34,$181.33,$177.02
11/22/2021,$181.4,16062820,$181.11,$188.77,$180.98
11/19/2021,$185,11891470,$184.69,$186.6,$182.3
11/18/2021,$186.32,15542570,$185.24,$188.7221,$182.75
11/17/2021,$183.54,21678880,$180.79,$186.33,$178.63
11/16/2021,$181.81,33338220,$168.11,$183.73,$167.06
11/15/2021,$168.51,12350190,$166.5,$169.94,$165.81
11/12/2021,$164.94,7370988,$165,$166.02,$164.33
11/11/2021,$164.42,7624181,$161.8,$165.5649,$161.39
11/10/2021,$159.8,11327140,$165.09,$166.12,$159.03
11/09/2021,$166.74,12353900,$166.51,$169.52,$164.38
11/08/2021,$165.85,14541400,$163.21,$167.71,$161.2775
11/05/2021,$163.03,27226580,$157.075,$168.55,$155.91
11/04/2021,$156.11,48321480,$156.325,$159.58,$153.3
11/03/2021,$138.48,13216020,$135.75,$138.85,$135.04
11/02/2021,$135.23,7321923,$134.55,$135.73,$134.12
11/01/2021,$134.81,6903023,$132.44,$134.87,$132.44
10/29/2021,$133.04,5251108,$132.862,$133.68,$132.45
10/28/2021,$133.69,5016737,$131.99,$133.83,$131.87
10/27/2021,$131.2,5090364,$131.94,$132.36,$130.51
10/26/2021,$131.94,5802241,$132.9,$133.788,$131.066
10/25/2021,$131.93,4876260,$131.82,$133.17,$131.3
10/22/2021,$131.62,5216154,$132.9,$133.69,$131.43
10/21/2021,$133.05,4579172,$132,$133.26,$131.4
10/20/2021,$132.16,4804076,$132.5,$133.005,$131.261
10/19/2021,$132.5,7330727,$131.017,$132.8,$130.32
10/18/2021,$130.12,5289973,$129.32,$130.27,$128.2404
10/15/2021,$130.2,7609677,$129.02,$130.4763,$128.68
10/14/2021,$128.66,10639840,$126.16,$129.3,$125.99
10/13/2021,$125.04,12380250,$125.2,$126.3199,$123.52
10/12/2021,$122.95,10531460,$125.38,$125.47,$122.165
10/11/2021,$124.94,6288235,$126.055,$127.23,$124.88
10/08/2021,$126.55,6920524,$128.5912,$128.5912,$126.21
10/07/2021,$127.84,8010556,$129.265,$130.72,$127.59
10/06/2021,$128.06,8513727,$126.55,$128.27,$126.07
10/05/2021,$127.53,9244310,$126.13,$128.77,$125.69
10/04/2021,$126.68,8470312,$128.92,$129.79,$125.92
10/01/2021,$128.71,6863724,$129.8,$130.02,$126.47
09/30/2021,$128.98,6982505,$130.35,$131.08,$128.695
09/29/2021,$129.28,7037221,$130.59,$131.45,$128.89
09/28/2021,$129.9,8851657,$131.75,$132.7399,$129.7
09/27/2021,$133.48,4319466,$132.43,$134.04,$132.02
09/24/2021,$133.88,4554621,$133.11,$134.55,$132.8001
09/23/2021,$133.91,5918870,$133.75,$135.16,$133.22
09/22/2021,$133.01,5163043,$132.59,$133.49,$131.98
09/21/2021,$131.75,6175312,$133.587,$133.91,$131.28
09/20/2021,$132.76,9647058,$131.47,$133.12,$130.61
09/17/2021,$133.6,14550480,$137.81,$138,$133.14
09/16/2021,$138.4,6719871,$137.32,$138.96,$137.32
09/15/2021,$138.24,11289100,$140.805,$141,$137.52
09/14/2021,$141.14,6442067,$144.47,$144.81,$140.62
09/13/2021,$143.41,4312803,$144.02,$144.73,$142.03
09/10/2021,$142.68,6263271,$143.13,$146,$142.54
09/09/2021,$141.58,6190783,$142.47,$143.54,$141.45
09/08/2021,$142.52,5981277,$143.36,$143.62,$141.49
09/07/2021,$143.75,6362270,$144.675,$144.76,$143.12
09/03/2021,$144.63,5506586,$145.12,$145.99,$144.2301
09/02/2021,$145.12,6007588,$146.7,$146.89,$144.51
09/01/2021,$146.45,6451408,$146.84,$148.1,$146.22
08/31/2021,$146.69,7820509,$146.8,$147.53,$144.56
08/30/2021,$145.94,5263612,$145.59,$147.86,$145.555
08/27/2021,$144.85,6274499,$142.2,$144.95,$141.92
08/26/2021,$142.38,6825131,$143.19,$143.76,$141.62
08/25/2021,$143.87,5721635,$144.46,$145.43,$143.465
08/24/2021,$144.46,7066814,$144.59,$145.5925,$143.8433
08/23/2021,$144.14,6936893,$142.653,$144.61,$142.35
08/20/2021,$142.09,6140962,$140.61,$142.26,$140.3
08/19/2021,$140.61,8660978,$140.65,$141.45,$138.96
08/18/2021,$142.18,6546524,$143.84,$144.655,$141.98
08/17/2021,$144.41,7256805,$146.95,$147,$143.5701
08/16/2021,$148.13,4410945,$148.4,$149.08,$146.72
08/13/2021,$148.64,5764041,$147,$149.31,$146.93
08/12/2021,$147.15,5778056,$147.76,$148,$146.39
08/11/2021,$146.68,6215983,$146.06,$146.79,$144.4
08/10/2021,$145.87,4197116,$147.32,$147.5,$142.4
08/09/2021,$146.92,4966607,$146.79,$147.7178,$145.75
08/06/2021,$146.28,5733256,$146.13,$148.23,$145.92
08/05/2021,$146.83,7169204,$147.24,$147.47,$144.5673
08/04/2021,$148.22,5556400,$148.02,$149.2,$147.33
08/03/2021,$147.95,6223384,$148.91,$149.58,$146.56
08/02/2021,$148.86,10823830,$150,$152.28,$148.21
07/30/2021,$149.8,8404794,$149.2,$150.41,$148.36
07/29/2021,$150.99,19446920,$146.5,$151.52,$146.41
07/28/2021,$142.44,9303418,$141.27,$142.91,$140.14
07/27/2021,$140.93,7575761,$142.49,$143,$138.21
07/26/2021,$143.5,6253904,$143.95,$144.3781,$142.24
07/23/2021,$144.88,6310362,$143.45,$144.99,$142.03
07/22/2021,$142.44,3862571,$142,$142.85,$141.5
07/21/2021,$142.17,6162215,$139.65,$142.22,$139.65
07/20/2021,$139.55,6020445,$139.02,$140.42,$137.2
07/19/2021,$138.79,9371342,$138.325,$138.895,$136.81
07/16/2021,$139.71,5914325,$141.87,$142.51,$139.53
